11,0,北京
12,0,天津
13,0,河北
14,0,山西
15,0,内蒙古
21,0,辽宁
22,0,吉林
23,0,黑龙江
31,0,上海
32,0,江苏
33,0,浙江
34,0,安徽
35,0,福建
36,0,江西
37,0,山东
41,0,河南
42,0,湖北
43,0,湖南
44,0,广东
45,0,广西
46,0,海南
50,0,重庆
51,0,四川
52,0,贵州
53,0,云南
54,0,西藏
61,0,陕西
62,0,甘肃
63,0,青海
64,0,宁夏
65,0,新疆
71,0,台湾
81,0,香港
91,0,澳门
1101,11,北京市辖
1102,11,北京县辖
1201,12,天津市辖
1202,12,天津县辖
1301,13,石家庄
1302,13,唐山
1303,13,秦皇岛
1304,13,邯郸
1305,13,邢台
1306,13,保定
1307,13,张家口
1308,13,承德
1309,13,沧州
1310,13,廊坊
1311,13,衡水
1401,14,太原
1402,14,大同
1403,14,阳泉
1404,14,长治
1405,14,晋城
1406,14,朔州
1407,14,晋中
1408,14,运城
1409,14,忻州
1410,14,临汾
1423,14,吕梁地区
1501,15,呼和浩特
1502,15,包头
1503,15,乌海
1504,15,赤峰
1505,15,通辽
1521,15,呼伦贝尔盟
1522,15,兴安盟
1525,15,锡林郭勒盟
1526,15,乌兰察布盟
1527,15,伊克昭盟
1528,15,巴彦淖尔盟
1529,15,阿拉善盟
2101,21,沈阳
2102,21,大连
2103,21,鞍山
2104,21,抚顺
2105,21,本溪
2106,21,丹东
2107,21,锦州
2108,21,营口
2109,21,阜新
2110,21,辽阳
2111,21,盘锦
2112,21,铁岭
2113,21,朝阳
2114,21,葫芦岛
2201,22,长春
2202,22,吉林
2203,22,四平
2204,22,辽源
2205,22,通化
2206,22,白山
2207,22,松原
2208,22,白城
2224,22,延边朝鲜族自治州
2301,23,哈尔滨
2302,23,齐齐哈尔
2303,23,鸡西
2304,23,鹤岗
2305,23,双鸭山
2306,23,大庆
2307,23,伊春
2308,23,佳木斯
2309,23,七台河
2310,23,牡丹江
2311,23,黑河
2312,23,绥化
2327,23,大兴安岭地区
3101,31,上海市辖
